index,series_name,network,season,title,imdb,engagement,date_aired,run_time,format,monster_name,monster_gender,monster_type,monster_subtype,monster_species,monster_real,monster_amount,caught_fred,caught_daphnie,caught_velma,caught_shaggy,caught_scooby,captured_fred,captured_daphnie,captured_velma,captured_shaggy,captured_scooby,unmask_fred,unmask_daphnie,unmask_velma,unmask_shaggy,unmask_scooby,snack_fred,snack_daphnie,snack_velma,snack_shaggy,snack_scooby,unmask_other,caught_other,caught_not,trap_work_first,setting_terrain,setting_country_state,suspects_amount,non_suspect,arrested,culprit_name,culprit_gender,culprit_amount,motive,if_it_wasnt_for,and_that,door_gag,number_of_snacks,split_up,another_mystery,set_a_trap,jeepers,jinkies,my_glasses,just_about_wrapped_up,zoinks,groovy,scooby_doo_where_are_you,rooby_rooby_roo,batman,scooby_dum,scrappy_doo,hex_girls,blue_falcon,fred_va,daphnie_va,velma_va,shaggy_va,scooby_va
11,"Scooby Doo, Where Are You!",CBS,1,A Gaggle of Galloping Ghosts,8.5,379,1969-11-22,21,TV Series,"Werewolf,Dracula,Frankenstein's Monster",male,"animal,undead","Werewolf,Vampire,Frankenstein's Monster",human,FALSE,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Forest,United States,1,FALSE,TRUE,Big Bob Oakly,Male,1,Treasure,these blasted kids,dog,FALSE,0,0,0,0,0,0,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
12,"Scooby Doo, Where Are You!",CBS,1,"Scooby-Doo and a Mummy, Too",8.2,358,1969-11-29,21,TV Series,Mummy of Ankha,male,undead,Mummy,human,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Urban,United States,1,FALSE,TRUE,Dr. Najib,Male,1,Theft,NA,NA,FALSE,1,1,0,0,0,0,0,0,6,1,0,3,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
13,"Scooby Doo, Where Are You!",CBS,1,Which Witch is Which,8.4,356,1969-12-06,21,TV Series,"Zombie,Witch","male,female","undead,magician","Zombie,Witch",human,FALSE,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Swamp,United States,2,FALSE,TRUE,"Zeke,Zeb Perkins","Male,Male",2,Theft,NA,NA,FALSE,0,0,0,0,0,0,0,0,3,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
14,"Scooby Doo, Where Are You!",CBS,1,Go Away Ghost Ship,8.1,331,1969-12-13,22,TV Series,Ghost of Redbeard,male,ghost,Pirate,human,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Ocean,United States,2,FALSE,TRUE,Mr. Magnus,Male,1,Theft,NA,NA,FALSE,0,0,0,0,0,0,0,0,5,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
15,"Scooby Doo, Where Are You!",CBS,1,Spooky Space Kook,8.4,372,1969-12-20,21,TV Series,Spooky Space Kook,male,extraterrestrial,Phantom,alien,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Rural,United States,1,TRUE,TRUE,Henry Bascombe,Male,1,Competition,NA,NA,FALSE,0,1,0,0,0,0,0,0,8,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
16,"Scooby Doo, Where Are You!",CBS,1,A Night of Fright Is No Delight,8.7,403,1970-01-10,21,TV Series,"Green Ghost,Green Ghost",male,ghost,"Phantom,Phantom",human,FALSE,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Island,United States,3,FALSE,TRUE,"Cosgood Creeps,Mr. Crawls","Male,Male",2,Inheritance,NA,NA,FALSE,1,0,0,0,0,0,0,0,3,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
17,"Scooby Doo, Where Are You!",CBS,1,That's Snow Ghost,8,328,1970-01-17,21,TV Series,Snow Ghost,male,ghost,Snow,yeti,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Snow,United States,3,FALSE,TRUE,Mr. Greenway,Male,1,Theft,NA,NA,FALSE,NA,0,0,0,0,0,1,0,4,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
18,"Scooby Doo, Where Are You!",CBS,2,Nowhere to Hyde,8.3,322,1970-09-12,21,TV Series,Ghost of Mr. Hyde,male,ghost,Split-Personality,human,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Forest,United States,2,FALSE,TRUE,Dr. Jekyll,Male,1,Theft,NA,NA,FALSE,1,0,0,0,0,0,0,0,3,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
19,"Scooby Doo, Where Are You!",CBS,2,Mystery Mask Mix-Up,7.8,312,1970-09-19,21,TV Series,"Ghost of Zen Tuo,Scare Pair,Scare Pair",male,ghost,"Zombie,Zombie,Zombie",human,FALSE,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,California,1,FALSE,TRUE,A. Fong,Male,1,Smuggling,NA,NA,FALSE,1,1,0,1,0,0,0,0,3,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
20,"Scooby Doo, Where Are You!",CBS,2,Scooby's Night with a Frozen Fright,7.7,301,1970-09-26,21,TV Series,Caveman,male,ancient,Caveman,human,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Urban,United States,2,FALSE,TRUE,Prof. Wayne,Male,1,Theft,those meddling kids,NA,FALSE,1,0,0,0,0,0,0,0,7,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
